MORATORIUM TYPE,STREET ADDRESS BEGIN,STREET ADDRESS END,STREET ADDRESS PREFIX,STREET NAME,STREET NAME SUFFIX,START DATE,EXPIRATION DATE
Street Resurfacing,6400,6459,W,54TH,ST,2011-07-20T00:00:00,2017-08-25T00:00:00
Street Resurfacing,2800,2929,N,LAVERGNE,AVE,2011-07-25T00:00:00,2017-11-12T00:00:00
Street Resurfacing,6500,6659,S,KOSTNER,AVE,2015-08-06T00:00:00,2020-08-06T00:00:00
Street Resurfacing,1800,1859,W,16TH,ST,2014-11-06T00:00:00,2019-11-06T00:00:00
Street Resurfacing,5500,5659,S,NEENAH,AVE,2011-07-25T00:00:00,2016-11-09T00:00:00
Street Resurfacing,5500,5659,S,NEENAH,AVE,2011-07-25T00:00:00,2016-11-09T00:00:00
Street Resurfacing,540,571,W,QUINCY,ST,2015-09-04T00:00:00,2020-09-04T00:00:00
Street Resurfacing,2800,2922,N,RICHMOND,ST,2014-07-10T00:00:00,2019-07-10T00:00:00
Street Resurfacing,5100,5200,S,MILLARD,AVE,2015-11-03T00:00:00,2020-11-03T00:00:00
Traffic Restriction,258,258,E,ERIE,ST,2015-06-12T00:00:00,2030-12-31T00:00:00
Street Resurfacing,5000,5059,S,THROOP,ST,2012-06-21T00:00:00,2017-06-21T00:00:00
Street Resurfacing,1600,7200,W,FOSTER,AVE,2013-10-01T00:00:00,2018-10-01T00:00:00
Street Resurfacing,505,545,E,112TH,ST,2013-08-13T00:00:00,2018-06-24T00:00:00
Street Resurfacing,1800,1859,N,MOZART,ST,2014-06-25T00:00:00,2019-06-25T00:00:00
Street Resurfacing,2600,2659,W,CULLERTON,ST,2014-11-01T00:00:00,2019-11-01T00:00:00
Street Resurfacing,1500,1559,S,KEDVALE,AVE,2015-10-07T00:00:00,2020-10-07T00:00:00
Street Resurfacing,2201,2259,N,LAKEWOOD,AVE,2011-10-11T00:00:00,2016-09-09T00:00:00
Street Resurfacing,435,459,W,WISCONSIN,ST,2015-09-03T00:00:00,2020-09-03T00:00:00
Traffic Restriction,1,781,W,ADAMS,ST,2015-11-09T00:00:00,2016-01-04T00:00:00
Street Resurfacing,1801,1826,W,IOWA,ST,2012-08-21T00:00:00,2017-08-09T00:00:00
Street Construction,12415,12417,S,WENTWORTH,AVE,2014-04-30T00:00:00,2024-04-30T00:00:00
Street Resurfacing,3800,4025,W,48TH,ST,2011-09-10T00:00:00,2018-08-10T00:00:00
Street Resurfacing,800,1059,N,WINCHESTER,AVE,2015-10-14T00:00:00,2020-10-14T00:00:00
Street Resurfacing,8200,8259,S,PAULINA,ST,2011-08-03T00:00:00,2015-12-09T00:00:00
Street Resurfacing,2155,3571,W,OGDEN,AVE,2013-04-18T00:00:00,2017-12-02T00:00:00
Street Resurfacing,3500,3559,N,NATOMA,AVE,2014-10-15T00:00:00,2019-10-15T00:00:00
Street Resurfacing,8900,9126,S,PAULINA,ST,2013-01-22T00:00:00,2018-01-22T00:00:00
Street Resurfacing,1,154,W,HARRISON,ST,2015-09-01T00:00:00,2020-09-01T00:00:00
Street Resurfacing,600,807,N,LOREL,AVE,2013-12-24T00:00:00,2018-12-24T00:00:00
Street Resurfacing,640,753,N,MORGAN,ST,2012-05-25T00:00:00,2017-05-08T00:00:00
Street Resurfacing,418,439,W,WILLOW,ST,2014-06-16T00:00:00,2019-06-16T00:00:00
Street Resurfacing,5600,6259,S,NARRAGANSETT,AVE,2015-06-09T00:00:00,2020-06-09T00:00:00
Street Resurfacing,1600,2000,W,MADISON,ST,2012-10-03T00:00:00,2017-10-03T00:00:00
Street Construction,4400,4537,N,MILWAUKEE,AVE,2011-08-15T00:00:00,2019-11-02T00:00:00
Street Resurfacing,4100,4118,N,DICKINSON,AVE,2011-08-17T00:00:00,2016-06-06T00:00:00
Street Resurfacing,100,325,E,18TH,ST,2012-12-06T00:00:00,2017-12-06T00:00:00
Street Resurfacing,2400,2459,W,BERTEAU,AVE,2014-06-23T00:00:00,2019-06-23T00:00:00
Street Resurfacing,7001,7032,N,MANKATO,AVE,2012-12-17T00:00:00,2019-12-31T00:00:00
Street Resurfacing,11701,11959,S,PRINCETON,AVE,2012-10-11T00:00:00,2017-06-25T00:00:00
Street Resurfacing,3832,4059,N,LAVERGNE,AVE,2012-05-18T00:00:00,2017-05-18T00:00:00
Street Resurfacing,12500,12661,S,WALLACE,ST,2013-08-20T00:00:00,2018-08-20T00:00:00
Street Resurfacing,3569,3959,W,59TH,ST,2015-09-01T00:00:00,2020-09-01T00:00:00
Street Resurfacing,5300,5359,W,SCHUBERT,AVE,2012-10-15T00:00:00,2017-10-15T00:00:00
Street Resurfacing,5200,5259,S,KOLMAR,AVE,2011-07-24T00:00:00,2017-09-14T00:00:00
Street Resurfacing,10701,10757,S,LA SALLE,ST,2013-12-26T00:00:00,2018-12-26T00:00:00
Traffic Restriction,500,699,S,MCCORMICK PL BUSWAY,,2015-11-09T00:00:00,2016-01-04T00:00:00
Street Resurfacing,1200,2459,S,MICHIGAN,AVE,2008-08-04T00:00:00,2018-08-04T00:00:00
Traffic Restriction,1,473,E,ONTARIO,ST,2015-11-09T00:00:00,2016-01-04T00:00:00
Street Resurfacing,6324,6416,S,CENTRAL,AVE,2014-10-27T00:00:00,2019-10-27T00:00:00
Street Resurfacing,1400,1559,S,LOOMIS,ST,2011-07-11T00:00:00,2017-11-02T00:00:00
Street Resurfacing,5600,5859,N,WASHTENAW,AVE,2014-08-20T00:00:00,2019-08-20T00:00:00
Street Construction,800,899,W,116TH,ST,2011-12-05T00:00:00,2021-12-05T00:00:00
Street Resurfacing,1,39,S,ABERDEEN,ST,2011-08-18T00:00:00,2016-07-14T00:00:00
Street Resurfacing,2700,2759,N,ALBANY,AVE,2015-10-19T00:00:00,2020-10-19T00:00:00
Street Resurfacing,7522,7659,S,HOYNE,AVE,2011-08-08T00:00:00,2017-12-03T00:00:00
Street Resurfacing,2100,2159,W,CHARLESTON,ST,2012-07-16T00:00:00,2017-07-16T00:00:00
Street Resurfacing,1000,1151,S,THROOP,ST,2013-05-13T00:00:00,2018-05-13T00:00:00
Street Resurfacing,1500,1557,W,50TH,ST,2011-07-11T00:00:00,2017-01-22T00:00:00
Street Resurfacing,2800,2959,W,HARRISON,ST,2014-09-18T00:00:00,2019-09-18T00:00:00
Street Resurfacing,5100,5155,S,KNOX,AVE,2011-07-20T00:00:00,2017-09-14T00:00:00
Street Resurfacing,2932,2959,W,SUNNYSIDE,AVE,2014-05-22T00:00:00,2019-05-22T00:00:00
Street Resurfacing,5200,5259,W,HURON,ST,2012-05-22T00:00:00,2017-05-22T00:00:00
Street Resurfacing,10700,10841,S,HALE,AVE,2013-09-09T00:00:00,2018-09-09T00:00:00
Street Resurfacing,1401,1401,N,ELK GROVE,AVE,2011-12-12T00:00:00,2016-11-29T00:00:00
Street Resurfacing,1700,2059,W,WARREN,BLVD,2011-02-09T00:00:00,2016-02-09T00:00:00
Street Resurfacing,4600,5227,W,BELDEN,AVE,2011-07-25T00:00:00,2016-10-12T00:00:00
Street Resurfacing,5900,5932,W,THORNDALE,AVE,2011-09-21T00:00:00,2016-09-21T00:00:00
Street Resurfacing,2954,3200,W,CARROLL,AVE,2015-06-26T00:00:00,2020-06-26T00:00:00
Street Resurfacing,4100,4151,N,DICKINSON,AVE,2011-08-01T00:00:00,2018-06-06T00:00:00
Street Resurfacing,701,1141,S,MAY,ST,2013-10-15T00:00:00,2018-10-15T00:00:00
Street Resurfacing,2400,2459,N,MOZART,ST,2012-07-23T00:00:00,2017-07-23T00:00:00
Street Resurfacing,1000,1159,W,90TH,ST,2012-04-27T00:00:00,2017-04-27T00:00:00
Street Resurfacing,4500,4525,W,65TH,PL,2011-08-18T00:00:00,2016-08-17T00:00:00
